i,Ii,Ji,ni
1, 0, -2,0.14632971213167
2, 0, -1,-0.84548187169114
3, 0, 0,-0.37563603672040e1
4, 0, 1,0.33855169168385e1
5, 0, 2,-0.95791963387872
6, 0, 3,0.15772038513228
7, 0, 4,-0.16616417199501e-1
8, 0, 5,0.81214629983568e-3
9, 1, -9,0.28319080123804e-3
10, 1, -7,-0.60706301565874e-3
11, 1, -1,-0.18990068218419e-1
12, 1, 0,-0.32529748770505e-1
13, 1, 1,-0.21841717175414e-1
14, 1, 3,-0.52838357969930e-4
15, 2, -3,-0.47184321073267e-3
16, 2, 0,-0.30001780793026e-3
17, 2, 1,0.47661393906987e-4
18, 2, 3,-0.44141845330846e-5
19, 2, 17, -0.72694996297594e-15
20, 3, -4,-0.31679644845054e-4
21, 3, 0,-0.28270797985312e-5
22, 3, 6,-0.85205128120103e-9
23, 4, -5,-0.22425281908000e-5
24, 4, -2,-0.65171222895601e-6
25, 4, 10, -0.14341729937924e-12
26, 5, -8,-0.40516996860117e-6
27, 8, -11,-0.12734301741641e-8
28, 8, -6,-0.17424871230634e-9
29, 21, -29, -0.68762131295531e-18
30, 23, -31, 0.14478307828521e-19
31, 29, -38,0.26335781662795e-22
32, 30, -39, -0.11947622640071e-22
33, 31, -40,0.18228094581404e-23
34, 32, -41, -0.93537087292458e-25
